"","index"
"426",2629
"427",2644
"428",2653
"429",2658
"430",2660
"431",2666
"432",2672
"433",2680
"434",2686
"435",2692
"436",2697
"437",2700
"438",2705
"439",2712
"440",2717
"441",2732
"442",2747
"443",2751
"444",2753
"445",2755
"446",2762
"447",2768
"448",2779
"449",2786
"450",2797
"451",2799
"452",2803
"453",2811
"454",2814
"455",2822
"456",2826
"457",2829
"458",2838
"459",2843
"460",2853
"461",2857
"462",2859
"463",2863
"464",2864
"465",2878
"466",2880
"467",2895
"468",2908
"469",2923
"470",2938
"471",2940
"472",2943
"473",2950
"474",2965
"475",2969
"476",2972
"477",2976
"478",2982
"479",2988
"480",2991
"481",2996
"482",3011
"483",3019
"484",3029
"485",3033
"486",3036
"487",3041
"488",3050
"489",3065
"490",3073
"491",3081
"492",3085
"493",3096
"494",3103
"495",3111
"496",3126
"497",3130
"498",3132
"499",3135
"500",3143
"501",3148
"502",3151
"503",3154
"504",3158
"505",3161
"506",3164
"507",3168
"508",3174
"509",3178
"510",3187
"511",3202
"512",3215
"513",3219
"514",3224
"515",3228
"516",3239
"517",3254
"518",3260
"519",3265
"520",3267
"521",3270
"522",3272
"523",3287
"524",3295
"525",3310
"526",3313
"527",3317
"528",3319
"529",3322
"530",3325
"531",3327
"532",3342
"533",3357
"534",3372
"535",3376
"536",3382
"537",3384
"538",3398
"539",3413
"540",3419
"541",3428
"542",3431
"543",3446
"544",3450
"545",3452
"546",3463
"547",3470
"548",3477
"549",3481
"550",3485
"551",3491
"552",3506
"553",3516
"554",3531
"555",3533
"556",3548
"557",3553
"558",3562
"559",3563
"560",3566
"561",3570
"562",3573
"563",3578
"564",3583
"565",3586
"566",3589
"567",3596
"568",3600
"569",3602
"570",3606
"571",3611
"572",3626
"573",3631
"574",3639
"575",3646
"576",3652
"577",3665
"578",3674
"579",3676
"580",3682
"581",3690
"582",3705
"583",3716
"584",3719
"585",3721
"586",3731
"587",3737
"588",3749
"589",3758
"590",3771
"591",3775
"592",3785
"593",3788
"594",3790
"595",3795
"596",3797
"597",3806
"598",3813
"599",3817
"600",3832
"601",3845
"602",3855
"603",3861
"604",3863
"605",3866
"606",3870
"607",3879
"608",3884
"609",3889
"610",3894
"611",3904
"612",3914
"613",3919
"614",3922
"615",3935
"616",3941
"617",3945
"618",3951
"619",3961
"620",3976
"621",3977
"622",3992
"623",4000
"624",4002
"625",4005
"626",4008
"627",4016
"628",4018
"629",4023
"630",4029
"631",4037
"632",4045
"633",4049
"634",4064
"635",4066
"636",4079
"637",4086
"638",4087
"639",4091
"640",4101
"641",4104
"642",4119
"643",4125
"644",4129
"645",4135
"646",4138
"647",4141
"648",4154
"649",4164
"650",4167
"651",4169
"652",4176
"653",4183
"654",4189
"655",4197
"656",4212
"657",4221
"658",4224
"659",4237
"660",4242
"661",4244
"662",4248
"663",4250
"664",4252
"665",4257
"666",4259
"667",4269
"668",4272
"669",4279
"670",4289
"671",4293
"672",4306
"673",4314
"674",4329
"675",4332
"676",4336
"677",4338
"678",4339
"679",4342
"680",4349
"681",4356
"682",4359
"683",4365
"684",4367
"685",4371
"686",4379
"687",4381
"688",4384
"689",4387
"690",4390
"691",4393
"692",4399
"693",4402
"694",4404
"695",4414
"696",4428
"697",4431
"698",4445
"699",4459
"700",4460
"701",4463
"702",4467
"703",4469
"704",4484
"705",4499
"706",4514
"707",4529
"708",4530
"709",4531
"710",4540
"711",4555
"712",4561
"713",4572
"714",4576
"715",4582
"716",4585
"717",4589
"718",4595
"719",4599
"720",4614
"721",4629
"722",4635
"723",4644
"724",4649
"725",4654
"726",4655
"727",4657
"728",4661
"729",4665
"730",4680
"731",4683
"732",4688
"733",4692
"734",4696
"735",4704
"736",4719
"737",4723
"738",4727
"739",4730
"740",4737
"741",4748
"742",4757
"743",4767
"744",4772
"745",4775
"746",4779
"747",4786
"748",4788
"749",4792
"750",4799
"751",4804
"752",4810
"753",4825
"754",4829
"755",4833
"756",4840
"757",4845
"758",4849
"759",4863
"760",4872
"761",4875
"762",4880
"763",4895
"764",4910
"765",4923
"766",4932
"767",4938
"768",4953
"769",4968
"770",4982
"771",4997
"772",5003
"773",5018
"774",5033
"775",5048
"776",5063
"777",5078
"778",5093
"779",5107
"780",5122
"781",5132
"782",5138
"783",5142
"784",5147
"785",5161
"786",5176
"787",5184
"788",5188
"789",5195
"790",5197
"791",5201
"792",5208
"793",5216
"794",5225
"795",5230
"796",5235
"797",5250
"798",5262
"799",5266
"800",5269
"801",5272
"802",5277
"803",5281
"804",5288
"805",5292
"806",5297
"807",5301
"808",5313
"809",5315
"810",5328
"811",5337
"812",5342
"813",5346
"814",5356
"815",5361
"816",5363
"817",5364
"818",5365
"819",5367
"820",5375
"821",5390
"822",5393
"823",5394
"824",5397
"825",5401
"826",5410
"827",5425
"828",5434
"829",5443
"830",5445
"831",5449
"832",5451
"833",5453
"834",5456
"835",5458
"836",5460
"837",5465
"838",5468
"839",5474
"840",5478
"841",5480
"842",5483
"843",5485
"844",5490
"845",5505
"846",5519
"847",5527
"848",5532
"849",5547
"850",5551
"851",5554
"852",5560
"853",5573
"854",5587
"855",5591
"856",5599
"857",5608
"858",5611
"859",5615
"860",5626
"861",5630
"862",5635
"863",5638
"864",5642
"865",5646
"866",5648
"867",5659
"868",5663
"869",5678
"870",5684
"871",5686
"872",5691
"873",5693
"874",5696
"875",5704
"876",5711
"877",5719
"878",5725
"879",5729
"880",5734
"881",5749
"882",5759
"883",5767
"884",5771
"885",5776
"886",5780
"887",5786
"888",5789
"889",5795
"890",5799
"891",5802
"892",5806
"893",5809
"894",5812
"895",5818
"896",5820
"897",5823
"898",5827
"899",5842
"900",5845
"901",5850
"902",5865
"903",5879
"904",5885
"905",5888
"906",5890
"907",5895
"908",5903
"909",5916
"910",5925
"911",5928
"912",5931
"913",5939
"914",5945
"915",5948
"916",5951
"917",5960
"918",5965
"919",5974
"920",5976
"921",5977
"922",5987
"923",5989
"924",5992
"925",5994
"926",5996
"927",6000
"928",6005
"929",6012
"930",6026
"931",6030
"932",6031
"933",6032
"934",6043
"935",6048
"936",6056
"937",6059
"938",6062
"939",6066
"940",6068
"941",6076
"942",6083
"943",6086
"944",6090
"945",6092
"946",6096
"947",6100
"948",6106
"949",6121
"950",6136
"951",6138
"952",6147
"953",6151
"954",6160
"955",6165
"956",6177
"957",6181
"958",6185
"959",6200
"960",6215
"961",6217
"962",6223
"963",6227
"964",6232
"965",6245
"966",6249
"967",6264
"968",6269
"969",6277
"970",6279
"971",6287
"972",6288
"973",6298
"974",6301
"975",6304
"976",6306
"977",6311
"978",6316
"979",6331
"980",6332
"981",6335
"982",6345
"983",6349
"984",6355
"985",6362
"986",6366
"987",6377
"988",6386
"989",6387
"990",6391
"991",6404
"992",6410
"993",6425
"994",6427
"995",6430
"996",6434
"997",6438
"998",6441
"999",6445
"1000",6450
"1001",6452
"1002",6463
"1003",6467
"1004",6470
"1005",6475
"1006",6484
"1007",6488
"1008",6492
"1009",6496
"1010",6506
"1011",6521
"1012",6526
"1013",6541
"1014",6556
"1015",6571
"1016",6586
"1017",6601
"1018",6616
"1019",6624
"1020",6628
"1021",6636
"1022",6644
"1023",6654
"1024",6669
"1025",6675
"1026",6679
"1027",6683
"1028",6686
"1029",6690
"1030",6700
"1031",6708
"1032",6714
"1033",6717
"1034",6719
"1035",6724
"1036",6730
"1037",6742
"1038",6747
"1039",6755
"1040",6758
"1041",6760
"1042",6771
"1043",6772
"1044",6782
"1045",6797
"1046",6812
"1047",6814
"1048",6818
"1049",6828
"1050",6829
"1051",6844
"1052",6859
"1053",6861
"1054",6869
"1055",6879
"1056",6894
"1057",6904
"1058",6908
"1059",6916
"1060",6919
"1061",6923
"1062",6927
"1063",6929
"1064",6944
"1065",6949
"1066",6952
"1067",6954
"1068",6957
"1069",6964
"1070",6970
"1071",6978
"1072",6984
"1073",6993
"1074",7001
"1075",7004
"1076",7007
"1077",7013
"1078",7024
"1079",7027
"1080",7028
"1081",7031
"1082",7033
"1083",7036
"1084",7045
"1085",7046
"1086",7060
"1087",7065
"1088",7078
"1089",7093
"1090",7100
"1091",7104
"1092",7112
"1093",7127
"1094",7131
"1095",7134
"1096",7137
"1097",7138
"1098",7141
"1099",7144
"1100",7159
"1101",7161
"1102",7163
"1103",7165
"1104",7170
"1105",7173
"1106",7185
"1107",7189
"1108",7192
"1109",7195
"1110",7202
"1111",7214
"1112",7218
"1113",7233
"1114",7236
"1115",7237
"1116",7247
"1117",7250
"1118",7254
"1119",7260
"1120",7274
"1121",7275
"1122",7278
"1123",7281
"1124",7285
"1125",7292
"1126",7294
"1127",7300
"1128",7304
"1129",7312
"1130",7313
"1131",7328
"1132",7333
"1133",7335
"1134",7340
"1135",7345
"1136",7350
"1137",7360
"1138",7375
"1139",7377
"1140",7382
"1141",7386
"1142",7388
"1143",7403
"1144",7418
"1145",7421
"1146",7427
"1147",7430
"1148",7440
"1149",7446
"1150",7460
"1151",7475
"1152",7479
"1153",7482
"1154",7485
"1155",7492
"1156",7498
"1157",7503
"1158",7507
"1159",7521
"1160",7536
"1161",7541
"1162",7546
"1163",7550
"1164",7561
"1165",7571
"1166",7576
"1167",7580
"1168",7584
"1169",7594
"1170",7595
"1171",7602
"1172",7605
"1173",7608
"1174",7613
"1175",7616
"1176",7619
"1177",7633
"1178",7648
"1179",7651
"1180",7666
"1181",7668
"1182",7672
"1183",7685
"1184",7691
"1185",7694
"1186",7697
"1187",7704
"1188",7719
"1189",7734
"1190",7749
"1191",7760
"1192",7775
"1193",7777
"1194",7779
"1195",7785
"1196",7788
"1197",7791
"1198",7795
"1199",7796
"1200",7811
"1201",7821
"1202",7825
"1203",7831
"1204",7835
"1205",7840
"1206",7853
"1207",7857
"1208",7863
"1209",7868
"1210",7883
"1211",7898
"1212",7902
"1213",7914
"1214",7918
"1215",7920
"1216",7923
"1217",7925
"1218",7927
"1219",7929
"1220",7932
"1221",7941
"1222",7956
"1223",7968
"1224",7970
"1225",7975
"1226",7983
"1227",7991
"1228",8004
"1229",8008
"1230",8023
"1231",8034
"1232",8040
"1233",8046
"1234",8047
"1235",8052
"1236",8059
"1237",8063
"1238",8065
"1239",8067
"1240",8072
"1241",8075
"1242",8081
"1243",8086
"1244",8101
"1245",8112
"1246",8126
"1247",8141
"1248",8156
"1249",8159
"1250",8174
"1251",8177
"1252",8186
"1253",8199
"1254",8212
"1255",8221
"1256",8233
"1257",8235
"1258",8238
"1259",8245
"1260",8256
"1261",8271
"1262",8276
"1263",8289
"1264",8291
"1265",8299
"1266",8302
"1267",8304
"1268",8308
"1269",8314
"1270",8324
"1271",8330
"1272",8333
"1273",8335
"1274",8339
"1275",8342
"1276",8348
"1277",8351
"1278",8355
"1279",8369
"1280",8373
"1281",8379
"1282",8393
"1283",8404
"1284",8414
"1285",8421
"1286",8426
"1287",8431
"1288",8446
"1289",8451
"1290",8453
"1291",8456
"1292",8461
"1293",8462
"1294",8464
"1295",8475
"1296",8479
"1297",8483
"1298",8487
"1299",8502
"1300",8517
"1301",8532
"1302",8535
"1303",8537
"1304",8540
"1305",8555
"1306",8566
"1307",8571
"1308",8585
"1309",8588
"1310",8597
"1311",8612
"1312",8616
"1313",8623
"1314",8638
"1315",8651
"1316",8666
"1317",8669
"1318",8674
"1319",8689
"1320",8692
"1321",8707
"1322",8720
"1323",8733
"1324",8743
"1325",8752
"1326",8759
"1327",8766
"1328",8778
"1329",8790
"1330",8799
"1331",8805
"1332",8818
"1333",8820
"1334",8835
"1335",8841
"1336",8849
"1337",8856
"1338",8861
"1339",8869
"1340",8877
"1341",8889
"1342",8895
"1343",8900
"1344",8910
"1345",8916
"1346",8922
"1347",8937
"1348",8949
"1349",8960
"1350",8969
"1351",8970
"1352",8975
"1353",8978
"1354",8980
"1355",8984
"1356",8988
"1357",8990
"1358",8992
"1359",8999
"1360",9008
"1361",9011
"1362",9016
"1363",9024
"1364",9031
"1365",9037
"1366",9041
"1367",9044
"1368",9046
"1369",9049
"1370",9053
"1371",9066
"1372",9081
"1373",9083
"1374",9087
"1375",9091
"1376",9096
"1377",9099
"1378",9102
"1379",9117
"1380",9124
"1381",9126
"1382",9129
"1383",9132
"1384",9136
"1385",9141
"1386",9150
"1387",9154
"1388",9157
"1389",9159
"1390",9171
"1391",9172
"1392",9174
"1393",9176
"1394",9180
"1395",9183
"1396",9184
"1397",9187
"1398",9190
"1399",9197
"1400",9202
"1401",9217
"1402",9218
"1403",9222
"1404",9229
"1405",9237
"1406",9241
"1407",9245
"1408",9260
"1409",9275
"1410",9290
"1411",9293
"1412",9305
"1413",9317
"1414",9320
"1415",9322
"1416",9328
"1417",9332
"1418",9338
"1419",9343
"1420",9351
"1421",9366
"1422",9381
"1423",9388
"1424",9402
"1425",9405
"1426",9407
"1427",9422
"1428",9426
"1429",9429
"1430",9444
"1431",9452
"1432",9455
"1433",9459
"1434",9465
"1435",9469
"1436",9471
"1437",9478
"1438",9480
"1439",9484
"1440",9486
"1441",9489
"1442",9490
"1443",9497
"1444",9512
"1445",9515
"1446",9518
"1447",9533
"1448",9536
"1449",9539
"1450",9543
"1451",9554
"1452",9566
"1453",9576
"1454",9581
"1455",9584
"1456",9599
"1457",9604
"1458",9610
"1459",9622
"1460",9633
"1461",9639
"1462",9642
"1463",9657
"1464",9659
"1465",9662
"1466",9667
"1467",9669
"1468",9671
"1469",9674
"1470",9689
"1471",9694
"1472",9697
"1473",9705
"1474",9710
"1475",9713
"1476",9715
"1477",9719
"1478",9723
"1479",9738
"1480",9743
"1481",9744
"1482",9747
"1483",9752
"1484",9757
"1485",9758
"1486",9761
"1487",9763
"1488",9768
"1489",9771
"1490",9782
"1491",9786
"1492",9801
"1493",9809
"1494",9824
"1495",9828
"1496",9830
"1497",9834
"1498",9837
"1499",9852
"1500",9866
"1501",9869
"1502",9883
"1503",9886
"1504",9895
"1505",9902
"1506",9905
"1507",9916
"1508",9927
"1509",9929
"1510",9944
"1511",9951
"1512",9963
"1513",9973
"1514",9974
"1515",9976
"1516",9980
"1517",9995
"1518",9997
"1519",10000
"1520",10002
"1521",10009
"1522",10015
"1523",10019
"1524",10026
"1525",10033
"1526",10038
"1527",10043
"1528",10044
"1529",10046
"1530",10054
"1531",10060
"1532",10062
"1533",10067
"1534",10078
"1535",10086
"1536",10092
"1537",10096
"1538",10103
"1539",10106
"1540",10109
"1541",10111
"1542",10115
"1543",10130
"1544",10145
"1545",10160
"1546",10163
"1547",10166
"1548",10171
"1549",10181
"1550",10184
"1551",10189
"1552",10193
"1553",10201
"1554",10204
"1555",10205
"1556",10216
"1557",10224
"1558",10227
"1559",10232
"1560",10234
"1561",10236
"1562",10237
"1563",10251
"1564",10259
"1565",10267
"1566",10269
"1567",10277
"1568",10281
"1569",10293
"1570",10295
"1571",10298
"1572",10302
"1573",10308
"1574",10314
"1575",10324
"1576",10326
"1577",10330
"1578",10342
"1579",10357
"1580",10361
"1581",10363
"1582",10364
"1583",10367
"1584",10370
"1585",10378
"1586",10380
"1587",10383
"1588",10387
"1589",10393
"1590",10397
"1591",10401
"1592",10409
"1593",10417
"1594",10423
"1595",10427
"1596",10430
"1597",10431
"1598",10432
"1599",10435
"1600",10439
"1601",10443
"1602",10448
"1603",10452
"1604",10455
"1605",10458
"1606",10468
"1607",10483
"1608",10488
"1609",10499
"1610",10511
"1611",10526
"1612",10540
"1613",10551
"1614",10565
"1615",10579
"1616",10594
"1617",10609
"1618",10624
"1619",10638
"1620",10653
"1621",10668
"1622",10683
"1623",10697
"1624",10705
"1625",10715
"1626",10718
"1627",10723
"1628",10727
"1629",10742
"1630",10753
"1631",10758
"1632",10766
"1633",10770
"1634",10785
"1635",10792
"1636",10797
"1637",10802
"1638",10805
"1639",10809
"1640",10816
"1641",10822
"1642",10829
"1643",10833
"1644",10835
"1645",10837
"1646",10842
"1647",10849
"1648",10852
"1649",10859
"1650",10871
"1651",10872
"1652",10884
"1653",10890
"1654",10895
"1655",10899
"1656",10903
"1657",10908
"1658",10910
"1659",10924
"1660",10927
"1661",10935
"1662",10936
"1663",10951
"1664",10957
"1665",10962
"1666",10971
"1667",10975
"1668",10977
"1669",10988
"1670",10999
"1671",11002
"1672",11006
"1673",11009
"1674",11022
"1675",11025
"1676",11040
"1677",11044
"1678",11047
"1679",11053
"1680",11058
"1681",11069
"1682",11072
"1683",11084
"1684",11093
"1685",11100
"1686",11104
"1687",11109
"1688",11114
"1689",11118
"1690",11121
"1691",11124
"1692",11127
"1693",11129
"1694",11139
"1695",11143
"1696",11147
"1697",11149
"1698",11159
"1699",11164
"1700",11172
"1701",11178
"1702",11186
"1703",11191
"1704",11194
"1705",11209
"1706",11212
"1707",11218
"1708",11228
"1709",11230
"1710",11235
"1711",11244
"1712",11254
"1713",11261
"1714",11264
"1715",11279
"1716",11282
"1717",11293
"1718",11295
"1719",11301
"1720",11315
"1721",11324
"1722",11327
"1723",11329
"1724",11344
"1725",11351
"1726",11364
"1727",11375
"1728",11390
"1729",11395
"1730",11404
"1731",11415
"1732",11419
"1733",11428
"1734",11432
"1735",11437
"1736",11441
"1737",11444
"1738",11454
"1739",11459
"1740",11474
"1741",11482
"1742",11486
"1743",11490
"1744",11497
"1745",11506
"1746",11508
"1747",11523
"1748",11536
"1749",11540
"1750",11555
"1751",11561
"1752",11565
"1753",11567
"1754",11582
"1755",11587
"1756",11599
"1757",11608
"1758",11614
"1759",11616
"1760",11625
"1761",11628
"1762",11635
"1763",11636
"1764",11640
"1765",11643
"1766",11654
"1767",11663
"1768",11670
"1769",11680
"1770",11685
"1771",11690
"1772",11698
"1773",11705
"1774",11707
"1775",11709
"1776",11713
"1777",11719
"1778",11723
"1779",11730
"1780",11737
"1781",11741
"1782",11750
"1783",11763
"1784",11772
"1785",11783
"1786",11791
"1787",11794
"1788",11806
"1789",11821
"1790",11824
"1791",11828
"1792",11834
"1793",11841
"1794",11850
"1795",11854
"1796",11857
"1797",11867
"1798",11878
"1799",11885
"1800",11889
"1801",11890
"1802",11891
"1803",11894
"1804",11897
"1805",11909
"1806",11913
"1807",11920
"1808",11925
"1809",11927
"1810",11929
"1811",11932
"1812",11933
"1813",11937
"1814",11944
"1815",11947
"1816",11950
"1817",11953
"1818",11957
"1819",11961
"1820",11965
"1821",11970
"1822",11985
"1823",11990
"1824",11993
"1825",11999
"1826",12000
"1827",12003
"1828",12008
"1829",12023
"1830",12025
"1831",12029
"1832",12036
"1833",12038
"1834",12041
"1835",12047
"1836",12052
"1837",12058
"1838",12062
"1839",12077
"1840",12089
"1841",12093
"1842",12095
"1843",12099
"1844",12104
"1845",12106
"1846",12114
"1847",12118
"1848",12120
"1849",12126
"1850",12130
"1851",12133
"1852",12136
"1853",12139
"1854",12143
"1855",12154
"1856",12158
"1857",12161
"1858",12169
"1859",12184
"1860",12199
"1861",12213
"1862",12216
"1863",12231
"1864",12235
"1865",12248
"1866",12254
"1867",12261
"1868",12262
"1869",12266
"1870",12272
"1871",12273
"1872",12282
"1873",12285
"1874",12292
"1875",12301
"1876",12316
"1877",12322
"1878",12332
"1879",12347
"1880",12352
"1881",12364
"1882",12370
"1883",12373
"1884",12375
"1885",12380
"1886",12384
"1887",12387
"1888",12395
"1889",12406
"1890",12414
"1891",12425
"1892",12440
"1893",12443
"1894",12446
"1895",12457
"1896",12470
"1897",12473
"1898",12484
"1899",12489
"1900",12499
"1901",12513
"1902",12517
"1903",12523
"1904",12525
"1905",12536
"1906",12544
"1907",12548
"1908",12558
"1909",12559
"1910",12564
"1911",12573
"1912",12578
"1913",12580
"1914",12590
"1915",12601
"1916",12602
"1917",12611
"1918",12616
"1919",12631
"1920",12634
"1921",12635
"1922",12638
"1923",12640
"1924",12644
"1925",12649
"1926",12650
"1927",12655
"1928",12659
"1929",12664
"1930",12666
"1931",12669
"1932",12672
"1933",12675
"1934",12678
"1935",12693
"1936",12698
"1937",12700
"1938",12702
"1939",12705
"1940",12716
"1941",12719
"1942",12727
"1943",12738
"1944",12747
"1945",12752
"1946",12755
"1947",12758
"1948",12770
"1949",12780
"1950",12784
"1951",12796
"1952",12808
"1953",12816
"1954",12819
"1955",12822
"1956",12828
"1957",12833
"1958",12846
"1959",12850
"1960",12853
"1961",12856
"1962",12860
"1963",12865
"1964",12870
"1965",12876
"1966",12882
"1967",12887
"1968",12895
"1969",12900
"1970",12911
"1971",12916
"1972",12924
"1973",12939
"1974",12945
"1975",12947
"1976",12951
"1977",12957
"1978",12964
"1979",12966
"1980",12979
"1981",12982
"1982",12989
"1983",12993
"1984",13000
"1985",13015
"1986",13027
"1987",13036
"1988",13044
"1989",13050
"1990",13058
"1991",13062
"1992",13064
"1993",13068
"1994",13074
"1995",13079
"1996",13081
"1997",13091
"1998",13098
"1999",13101
"2000",13104
"2001",13108
"2002",13118
"2003",13121
"2004",13127
"2005",13130
"2006",13134
"2007",13138
"2008",13139
"2009",13147
"2010",13151
"2011",13161
"2012",13166
"2013",13181
"2014",13188
"2015",13192
"2016",13205
"2017",13211
"2018",13213
"2019",13228
"2020",13233
"2021",13240
"2022",13243
"2023",13250
"2024",13252
"2025",13267
"2026",13282
"2027",13285
"2028",13288
"2029",13290
"2030",13292
"2031",13295
"2032",13306
"2033",13309
"2034",13312
"2035",13314
"2036",13321
"2037",13324
"2038",13339
"2039",13345
"2040",13355
"2041",13362
"2042",13366
"2043",13370
"2044",13378
"2045",13383
"2046",13388
"2047",13397
"2048",13399
"2049",13405
"2050",13413
"2051",13428
"2052",13438
"2053",13439
"2054",13450
"2055",13458
"2056",13465
"2057",13473
"2058",13486
"2059",13492
"2060",13496
"2061",13508
"2062",13516
"2063",13527
"2064",13535
"2065",13539
"2066",13542
"2067",13557
"2068",13572
"2069",13583
"2070",13591
"2071",13603
"2072",13613
"2073",13621
"2074",13623
"2075",13628
"2076",13636
"2077",13639
"2078",13642
"2079",13652
"2080",13661
"2081",13664
"2082",13666
"2083",13673
"2084",13679
"2085",13692
"2086",13706
"2087",13711
"2088",13713
"2089",13717
"2090",13720
"2091",13724
"2092",13730
"2093",13734
"2094",13738
"2095",13739
"2096",13745
"2097",13753
"2098",13759
"2099",13772
"2100",13777
"2101",13787
"2102",13788
"2103",13791
"2104",13793
"2105",13806
"2106",13821
"2107",13822
"2108",13825
"2109",13830
"2110",13833
"2111",13842
"2112",13845
"2113",13847
"2114",13850
"2115",13859
"2116",13869
"2117",13884
"2118",13899
"2119",13904
"2120",13913
"2121",13928
"2122",13932
"2123",13934
"2124",13935
"2125",13942
"2126",13955
"2127",13959
"2128",13962
"2129",13976
"2130",13985
"2131",13989
"2132",13995
"2133",14002
"2134",14008
"2135",14010
"2136",14019
"2137",14023
"2138",14037
"2139",14044
"2140",14059
"2141",14074
"2142",14077
"2143",14083
"2144",14086
"2145",14093
"2146",14095
"2147",14097
"2148",14099
"2149",14101
"2150",14103
"2151",14107
"2152",14117
"2153",14121
"2154",14136
"2155",14141
"2156",14148
"2157",14152
"2158",14159
"2159",14174
"2160",14177
"2161",14180
"2162",14182
"2163",14187
"2164",14190
